,index,0,bb,bt,tt
299,876,"these consist of remote working, virtual training, video interviewing, and access to webinars and virtual events.",0,0,0
300,265,"at the same time, as all areas of the business are growing in multiple directions, new products, reports and tools are needed.",0,0,0
301,83,"in some instances, developed vetting (dv) is required.",0,0,0
302,1188,you will work closely with our cto to help push the boundaries of what the echobox artificial intelligence is capable of achieving with this data.,0,0,0
303,2779,"we really don't have much in the way of red tape, so expect to start making a positive impact on our games, right from the get-go.",0,0,0
304,2427,"however, as women are currently under-represented in our workforce, we would particularly welcome applications from women.",0,0,0
305,590,"here's a taste of what you will be doing:

run pricing and support decisions around tariff options.",0,1,0
306,621,successful candidates are placed on a fast track career progression and have the opportunity to work and learn from some of the most famous brands in the world.,0,0,0
307,280,"heavily vc backed - $20m
huge client list
in 2 years they have grown revenue from $6m to $120m
global offices in various continents
first class training and on-boarding programme
a humble, dedicated, excellent and highly intelligent team
 
the role:
they are now looking for their first uk data scientist to join their excellent team.",0,0,0
308,671,you will also be exposed to senior management across the group and make an outsized impact early in your career.,0,0,0
309,883,as a business intelligence data analyst you will use your investigative and problem solving skills to analyse data and uncover trends that deliver actionable insights for the business.,0,2,0
310,2017,"*this role can be based out of either one of our oxford or cambridge offices, with flexible hours and partial home working possible.",0,0,0
311,2735,"requirements
advanced sql (common table extensions, window functions etc.)",0,0,0
312,572,health and wellness: comprehensive extended health care coverage from vitality and spill counselling.,0,0,0
313,371,learn more about cgi at www.cgi.com.,0,0,0
314,1347,"4-5 days client site with possible european travel thereafter

excellent salary and benfits on offer ££££

do you have?",0,0,0
315,1456,they will be confident in working with a variety of data sources as well as effectively communicating to technical and non-technical audiences.,0,0,0
316,2709,"in a more professional sense they want someone who has strong data science experience, whether that's just out of university or 25+ years experience, as long as you meet the requirements above, they are interested in hearing from you.",0,0,0
317,430,the services advertised by webrecruit are those of an employment agency.,0,0,0
318,2511,"working on challenges related to liquidity, acquisition and product conversion.",0,0,0
319,770,experience building statistical models.,0,0,0
320,1945,"mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.",0,2,0
321,446,"working across products both in active development & in live support cycles, data analysis will cover a broad range of activities such as supporting the design team with level/vehicle balancing insights to working closely with business stakeholders to better understand player behaviour.",0,2,0
322,1169,experience of bioinformatics and genetics-related toolsets.,0,0,0
323,2012,experience developing production software is a plus.,0,0,0
324,922,"we carefully consider agile ways of working, both formal and informal, that allow for the best impact for our people and our clients.",0,0,0
325,2584,"good scripting and programming skills
data-oriented through and through
master’s degree or above in related disciplines


benefits
employee ownership options
training & development is actively encouraged
flexible working hours
remote working possibilities
diverse project portfolio
funding towards extra curricular activities ie.",0,0,0
326,2902,"using fashion-specific ai, expert knowledge and proprietary data, they are looking to deliver a prediction platform that can offer clients the ability to predict customer behaviours and fashion trends to optimise and personalise shopping journeys.",0,2,0
327,1963,wellness.,0,0,0
328,1833,"we want to facilitate everyone in bringing their best selves to our interviews, so if there are any adjustments we can make for our process to be more inclusive, please let us know.data scientist 

data idols are working with a well know online brand to find an experienced data scientist.",0,0,0
329,1634,"collaborate with consultants, customer success managers, and technical services to deliver successful customer journey optimisation programmes to clients.",0,1,0
330,1551,"about sse

we all have different skills here at sse and that's what makes us stand out.",0,0,0
331,127,"you'll have demonstrable experience in data architecture, analysis and modelling, as well as data warehousing.",0,0,0
332,2946,"discover more about groupm at www.groupm.com follow@groupmworldwide on twitter follow groupm on linkedin https://www.linkedin.com/company/groupm

we are an equal opportunity employer it is the policy of groupm and its affiliates to provide equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, marital status, or status as a covered veteran in accordance with applicable federal, state and local laws
who are we?",0,0,0
333,1740,"utilising problem-solving skills and judgment necessary to analyze, troubleshoot, and problem-solve issues and provide proposed solutions
training in the use of the review platforms will be delivered either on-site or remotely using webex technology.the data analyst will work with project managers to ensure that the client maximises their use of the review platforms to achieve the highest levels of service delivery and client satisfaction.",1,1,0
334,295,"whilst the role will eventually be based at the impressive willerby offices in east yorkshire, the current climate means that the role will initially be fully home based.",0,0,0
335,2198,joining us means playing a part in defining; building and launching an ambitious roadmap of digital products that could affect the lives of millions of people over the years to come.,1,0,0
336,1543,"intellectually curious, you'll also demonstrate strong interpersonal and communication skills with the ability to present complex ideas to technical and non-technical audiences.",0,0,0
337,251,"we believe the best information about a residential development comes from the people living there not just on the property itself and its locality, but also on the developer and the building’s management.",0,0,0
338,1307,"aptean uses its core values of drive for results, win together, foster innovation, and be courageous to guide its employee community to serve every customer in every geography and market.",0,0,0
339,1750,"enable the business with data solutions
gather requirements, scope projects and build a comprehensive and realistic data roadmap as part of the business intelligence team and senior stakeholders.",0,1,0
340,234,our jobs are open to all.,0,0,0
341,2316,"our company provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics.liberty it employs over 500 people who develop a wide range of specialist and enterprise scale applications and provide technical support across the global enterprise for our parent company, liberty mutual.",0,0,0
342,1964,"gym discounts, health insurance, unlimited coffee, beer, and cereal, enhanced maternity and paternity packages, unlimited holiday and flexible working options, pension.",0,0,0
343,1197,"to get a better insight into the kind of work we do, check out our open-source project on github, our data showcases and our youtube content on microservices.",0,0,0
344,825,"25 days’ holiday, with optional 5 days unpaid leave per year
free fruit, biscuits, tea and coffee
annual lifestyle allowance of £300 to put towards an activity of your choice
cycle to work and gym flex scheme
focus on training and career progression
competitive salary

we are proud to be an equal opportunities employer.",0,0,0
345,1156,proficiency in using relational databases and writing sql queries.,0,0,0
346,93,"www.datais.energy 
position purpose:
we rely on data scientists to run a wide range of machine learning methods monitoring for efficacy and degradation, continually improving our forecasting and relationship discovery.",0,0,2
347,10,·educate others on statistical analysis and scientific investigation.,0,0,1
348,1729,"maths, economics, science, computer science;
previous experience of supporting other analysts in building efficiencies and automated workflows;
prior experience of conducting landscape analysis of new areas (e.g.",0,0,1
349,1878,"the digital team is one of newton’s specialist capabilities, along with change management; these teams work seamlessly with the core consulting body to enable delivery of exceptional results for our clients.",0,0,0
350,1301,"aptean is on a mission to end those workarounds – with industry-specific solutions instead of generic software, expert support instead of making you go it alone, and a steady influx of new ideas instead of the status quo.",0,0,0
351,1488,"provide support and first-line advice to data asset owners and administrators for all hospice systems, to ensure information governance (ig) and data protection procedures are in place, documented and audited and are able to support current and future business intelligence needs.",0,1,0
352,1335,"we’re looking for smart people to help us understand it better, pull disparate data sources together and look for opportunities to get better in everything we do.",0,0,0
353,475,"in this role you’ll to join the clients’ well-established, specialist team of data science experts, whose sole focus is to create innovative models to solve challenges that the industry are either facing now, or will face in the future.",0,2,0
354,2201,you will work closely with the business and engineering teams to deliver effective optimisation solutions to diverse business problems.,1,1,0
355,2380,"strong analytic and problem solving skills, especially in the area of predictive modelling.",0,0,0
356,80,rf or cyber background is desirable but training can be provided.,0,0,0
357,384,"your new role
you will play a key role in ensuring that the client understands the data patterns and that the processes being developed for the underlying indices (geography, classification, address, demographic and business) are done so using innovative and smart ways.",0,1,0
358,2254,"no agencies!shape and determine the deisgn of nlp platform for the bank

extension practical experience building and implemtning machine learing models (in nlp space)

practical engineering experience

lead a small team of data science nlp specialistspwc

a career within forensics technology services, will provide you with the opportunity to help our clients protect their business in today’s evolving landscape by applying advanced and strategic approaches to information management.",0,2,0
359,408,·5+ years’ experience in related field is preferable.,0,0,0
360,15,·educate others on statistical analysis and scientific investigation.,0,0,0
361,2195,we’re driving innovation and transforming our technology to become the world’s leading retailer.,0,0,0
362,2121,we call this the absolute work title freedom.,0,0,0
363,126,our data modeller will need a strong understanding of the utility energy industry to be able to place the drax data warehouse model into strategic business context and engage with business stakeholders.,0,2,0
364,1773,the team supports development of key policies and liaises with the voluntary sector to deliver the council’s strategic aims.,1,1,0
365,942,"this can mean that you and your ""immediate family members"" are not permitted to hold certain financial interests (shares, funds, bonds etc.)",0,0,0
366,1806,"we are committed to flexible working, therefore if you would like to consider this as a part-time opportunity, please email recruitment@lloyds.com

should you feel that you require reasonable adjustments during your application process we request that you please follow this link to create a cleartalents user profile

at lloyd's we believe that innovation comes from having an inclusive culture of equality and diversity.",0,0,0
367,2902,"using fashion-specific ai, expert knowledge and proprietary data, they are looking to deliver a prediction platform that can offer clients the ability to predict customer behaviours and fashion trends to optimise and personalise shopping journeys.",0,2,0
368,2346,"we’re doing something new within bt, with the significant digital, data and brand strengths of bt to draw on.",0,0,0
369,2394,the opportunity to make a difference by leveraging your unique strengths.,0,0,0
370,2727,"it should be noted that due to the volume of applications we receive, only those with the relevant skill set and profile for the position will be replied to.",0,0,0
371,985,you will get introduced to the wider analyst community through our support channel and by attending global analyst meetings.,0,0,0
372,651,detailed knowledge of core computer science concepts (e.g.,0,0,0
373,2561,"working with stakeholders, both internal and external, you will assist the development and delivery of the amrc's data science roadmap.",0,0,0
374,2598,our next generation products are already leading the way in the industry of vapour and tobacco heating devices.,0,0,0
375,2562,"experience of working in collaborative university/industry projects is desired but not essential, as is experience of securing grant funding.",0,0,0
376,2071,"opening date- 12/05/2020 



closing date- 12/06/2020



primary location

united kingdom-cambridgeshire-peterborough

work locations

pegasus house

job

data & analytics

organisation

bgl life

schedule

permanent

shift

general

job type

open to flexibility

job posting

may 1, 2020, 5-39-34 amplaydemic, a division of wb games inc., are looking for a talented data scientist with a passion for mobile games and cutting edge analytics, to join our fast-paced studio.",0,0,0
377,2615,"already, she's helped 3 million people improve their relationship with money through simplicity and a sense of humour.",0,0,0
378,2218,"key responsibilities

general
deliver data, analytics and strategic projects across the banking division
work with the head of analytics and businesses to define and agree project scopes and approach
focus on predicting customer and partner behaviours
work on time series analysis
deliver price optimisation including ab testing
deliver contact centre optimisation
provide ad hoc analysis for the ixd team as required


project work
document and present project findings in an easy to understand way for non-technical audiences
iterate models and project documentation based on feedback from stakeholders
focus on findings with the greatest customer, partner or commercial impact
impact the way the bank could further improve its operations and deliver better outcomes for customers and partners


embed data analytics
work with it, business intelligence and other teams to transfer predictive models and analysis to business as usual (bau)
provide support to the local business teams post model and analysis transfer
work with the head of analytics to promote and increase the adoption of data analytics across the bank
investigate and evaluate new data analysis tools and systems
promote new approaches and modelling techniques where relevant
be an active member of the bank wide analytics working group
coach people across the business to improve their analytics and insight approach and skills


risk & compliance

ensure that all governance and compliance requirements are adhered to and all reporting and reviewing activities required by the regulatory bodies are carried out to the standards required

about you

skills and experience:

essential
a deep understanding of the methods underlying predictive modelling and statistical analysis
experience working on machine learning problems (classification and regression)
a proven ability to deliver complex analytics projects from inception through to completion
proficiency in programming in either python or r
experience with data wrangling using standard libraries (pandas, dplyr or similar)
passionate about data and modelling, and how it could be used to improve customer experience and business performance
communication and persuasion skills with the ability to think quickly and package ideas and results in a logical, understandable and compelling way to both technical and non-technical audiences
ability to work independently


desirable
experience using self-service analytics tools like alteryx
sql skills for data manipulation
experience designing experiments
experience using visualisation libraries (seaborn, matplotlib, ggplot or similar)
experience with version control (git)
financial services experience


rewards and benefits

at close brothers we recognise the value of a work life balance, and have put together a benefits package that reflects this.",0,1,0
379,586,"data science(data scientist),algorithms, cloud platformse.on next data scientist

location coventry or leicester or london

salary - from £45,000

do you love analytics and want to work with cutting-edge technology?",0,0,0
380,1311,create ad-hoc reports.,0,0,0
381,654,"desirable:

java or python authority.",0,0,0
382,2835,work closely with engineering/infrastructure teams to help transition models from development to production.,0,0,2
383,1119,"provide analysis and projections as requested and investigate patterns and trends in data; and use problem solving, analytical and communications skills to identify possible explanations.",0,0,2
384,2355,"proactively investigate and discover new techniques, technologies and data sources to enhance bt data solutions capabilities.",0,0,1
385,377,the data scientist will also be expected to demonstrate incremental developments in data analysis/machine learning to the business.,0,1,0
386,747,"experience with statistical program languages such as python, r, impala etc
experience with distributed systems such as the hadoop ecosystem
the offer
salary up to £110,000 + 10% bonus
benefits including flexible working, 24 days holiday, holiday buy/sale, pension, health care, dental, travel insurance, vouchers, discounts and more...
the company

your new employer is a multi-award winning consultancy with a global reach and over 180,000 employees.",0,0,0
387,1475,"com

to find out more about real please visit www.realstaffing.",0,0,0
388,606,think intellectually curious and enjoy learning.,0,0,0
389,1962,"dedicated learning time every month, with budgets for resources, books and conferences.",0,0,0
390,2604,"strong sql
experience coding in python (pydata stack)or other programming languages
experience with any bi tool is a plus
highly analytical and structured thinking
2+ years’ work experience; phd is a plus!",0,0,0
391,961,"these five shared values lead every decision we make and action we take, guiding us to deliver impact how and where it matters most.",0,0,0
392,690,"they are looking for a creative and experienced machine learning data scientist with commercial experience of building ml models and implementing them (target language is python, or possibly r, but happy to cross train from java, c++, c# etc) into sophisticated applications.",0,0,2
393,700,data visualization experience would also be useful for this role.,0,0,0
394,2672,"therefore, we invest into the personal growth and skill development of each individual alongside with the strength finder test
... offer attractive compensation models (best-in-class salary, stock option packages, employee referral bonus, family service, flexible working hours, …)
... are visionary and one of the fastest growing software-unicorns in the world
... are process mining experts and developed the world's most powerful tool for analyzing, optimizing and transforming all it-supported business processes: the intelligent business cloud
... distinguish ourselves through a unique combination of innovative start-up atmosphere paired with great professionalism and self-responsible workare you an experienced data scientist looking to take responsibility of a growing fintech start-up in oxford?",0,0,0
395,1637,experience / skill working with data (e.g.,0,0,0
396,867,"we pleased to offer all our employees a competitive salary, a chance to participate in the success of the company through equity, medical and dental benefits and a wellness program.",0,0,0
397,2712,"you’ll become a part of a high functioning mathematical/statistical analysis team, who have some extremely bright and well educated individuals amongst them.",0,0,0
398,1585,"in light of the current situation concerning coronavirus, we have already made changes to the way we recruit, and of course are mindful of following all necessary processes to ensure the safety of our staff and anyone we might come into contact with.",0,0,0
399,2641,coding experience with python.,0,0,0
400,2272,"consulting with clients on business issues, often explaining complex technical concepts to non-technical people.",0,1,0
401,1894,"essential

desirable

qualifications and attainments
degree, management qualification or relevant professional qualification or knowledge and ability at an equivalent level
√

work experience
recent experience of undertaking a similar role
proven experience of working to deadlines and prioritising workloads
working knowledge of procurement or commercial processes
experience of managing projects with strong project management skills
some experience of analysing and diagnosing problems and implementing effective solutions
proven experience of undertaking statistical analysis and producing reports based on this analysis
√

√

√

√

√

√

skills
good communication skills including clear written and spoken english
excellent standard of numeracy in order to analyse facts and figures
good negotiation and presentation skills
excellent interpersonal and customer care skills
ability to interpret computerised information and documentation
√

√

√

√

√
pc literacy
intermediate microsoft word or similar

advanced microsoft excel or similar

basic microsoft powerpoint or similar

email and internet communications

√

√

√
√

salary: 100.00 per day

benefits

start date: asap

contact name: janine edwards

contact email address: click apply

contact telephone number: click applyagricultural data scientist (head office, scarborough)

£competitive

asap

closing date 8th june 2020





want to be part of the second biggest construction project ever within the uk behind the channel tunnel?",0,0,0
402,2701,they commit 20% of their time to professional development and have done this for the past 20 years.,0,0,0
403,798,experience and knowledge of statistical modelling.,0,0,0
404,1448,"- any flavour will dogood knowledge of of the python data analysis toolkit (jupyter notebooks, numpy, pandas, matplotlib, plotly etc.).",0,0,0
405,989,the data warehouse is the source for all key trade reporting to the business.,0,0,0
406,2811,"as a result, we’re looking for the most talented, passionate and dedicated individuals to join us.",0,0,0
407,166,we're looking for an ambitious and talented data scientist to join our team managing double/triple-digit annual growth.,0,0,0
408,2235,esoterix systems is a specialist intelligent mobility technology provider.,0,0,0
409,2677,"communicate complex ideas to a wide audience, from partners with a quantitative background, to developers, operations teams and management


who you are
hands-on experience in applying statistical/machine-learning techniques in quantitative analysis.",0,0,1
410,2150,"produce high quality analyses: apply rigor in study design and analytical methods; plan for data processing; design a fit-for-purpose analysis plan, assess effective ways of presenting and delivering the results to maximize impact and interpretability; implement and/or oversee the study, including its reporting; ensure compliance with applicable pharma industry regulations and standards.",0,0,2
411,2689,"about oodle

oodle car finance is changing the way people buy cars by putting our customers' needs front and centre of the second biggest retail market in the uk.",0,0,0
412,1232,we pride ourselves on making quick affirmative decisions and data is the driver to make this happen.,0,1,0
413,2315,"we are a team of data scientists, analysts and software developers working collaboratively to provide bespoke analysis and software solutions across the global business.",0,0,2
414,306,"if this opportunity sounds like it may be of interest to you, please apply now.",0,0,0
415,2202,"you will be working on industrial-scale optimisation problems involving combinatorial optimisation across many areas of the business, such as:
vehicle routing and warehouse management
pick-route optimisation in stores and depots
network optimisation
people and resource optimisation
spatial optimisation in stores and depots
price optimisation
main responsibilities
your main responsibilities will be:
to work on technical problems within the capacity planning and fulfilment domain by using prototypes in java  or python or other suitable languages
to work with the principal data scientist to help identify areas of impact across multiple business domains
to work collaboratively within the data science team to help solve broader data science problems
to be able to present clearly to the business about your technical area and the business ramifications of technical designs and results on a project
to work with the data science scrum master and the wider data science team to use/learn agile and kanban project management approaches to tackle projects
to identify new innovative projects yourself to work on in your 20% time
to keep yourself up to date with the latest technical innovations in optimisation and to learn new technical areas
to be prepared to give seminars to the data science team and externally on technical subjects that you are enthused about
 
the ideal candidate
you will be expected to be an expert in at least one aspect of or such as mathematical programming constraint programming and/ or designing and implementing meta-heuristics.",0,1,0
416,1913,r or python).,0,0,0
417,437,comfortable working with both traditional and new technologies.,0,0,0
418,2497,we’re in a hyper-growth stage both in technology and business.,0,0,0
419,2519,where are you going to be doing this?,0,0,0
420,901,"you will also be a champion of continuous improvement and change, exploring how we can introduce automation, implement new modelling techniques or embrace machine learning methodologies.",0,0,1
421,2592,"your role will be in applying data mining techniques, carrying out statistical analysis, and building high fidelity prediction systems for both scientific & commercial purposes.",0,1,1
422,477,"the responsibilities

work with clients and the business to identify opportunities for using data and emerging technologies like ai to solve challenges

data wrangling, cleansing & exploration

researching and implementing custom statistical models and machine learning algorithms

executing proof-of-concepts and pilots to evolve an idea into a successful prototype or solution

communicating results and ideas to key stakeholders and decision makers

the candidate

proven experience as a data scientist

strong proficiency in python or r

excellent communication and presentation skills

familiarity with cloud-based data science and machine learning services and apis (e.g.",0,0,1
423,1419,there is therefore a risk that recruitment to this post may be subject to change at short notice.,0,0,0
424,2614,"ability to demonstrate the true value to the business from an ai/ml perspective

must have operated within the cloud

if you are coming available soon, please apply asap for immediate considerationmeet cleo

cleo was created to improve your financial health.",0,0,0
425,1453,"we provide ongoing training opportunitiesjob summaryid: bd81fa38bcdepartment: [""data""]type: full timethe primary role of data analyst is to support psyon’s analytics proposition through comprehensive requirements analysis; detailed and accurate preparation varying data; identification, analysis and interpretation of patterns in complex datasets and creation of compelling and information visualisation that supports decision-making for our clients and intermediary partners.",0,1,1
426,1857,"our ideal candidate will combine their intuition for great sports content with a strong, data-driven approach to measure and contextualize the value of different story types to our subscribers.",1,1,0
427,1455,"the ideal candidate will have a statistical, mathematical or data science-related background, a driven individual looking for the next step in their career, wanting to build on their foundational experience in data analytics to become a true practitioner.",0,0,0
428,1098,"we’re one of the uk's largest and most experienced private medical insurance providers, and we’ve been helping people access the medical care they need, when and where they need it, for over 70 years now.",0,0,0
429,506,"how do you meet the requirements of this role?data scientist python/r

this is a new and exclusive opportunity for a strong data scientist to join one of the most advanced analytics teams in the financial world

joining as the senior data scientist, you will work on initiatives to generate actionable insights and build new products from on rich internal data sets and build machine learning tools

role details 
title: data scientist
location: london city bank/ moorgate
salary- £70-100,000 dependant on skill level and experience
requirements: superb degree from top university, strengths in python/ r


responsibilities for data scientist
work with stakeholders throughout the organization to build proof of concepts for new business solutions.",0,1,0
430,849,"a desire to constantly stay organized and create efficiency using technology, bringing order to chaos and uncertainty.",0,0,0
431,2770,"about the trust

the vision at hampshire hospitals nhs foundation trust is to provide outstanding care for every patient.",0,0,0
432,2875,"key skills required
strong statistical modeling skills(knowledge ofpredictive analytics would advantageous)
expert knowledge of optimization or machine learning algorithms or deep learning algorithms
solid experience inbig data environments (e.g., cloudera hadoop, hortonworks data platform, aws emr, map/reduce, hive)
if you have any of the following skills and experience it would be highly beneficial:
constantly evolving data science ecosystem and its frameworks (e.g., hadoop, spark mllib, h2o, tensorflow, torch, theano)
basic skills with regard to performance optimization and scalability (e.g., parallelization, code optimization, containerization, function as a service)
experience in working with relational and non-relational databases, including sql

ideally you will have a
master degree that reflects strong modeling, statistics and it skills (phd welcome but not required)
2+ years of professional experience in quantitative data analysis/ data science or related areas
please contact david eales for more information on this opportunity.",0,0,1
433,2745,this is a full-time placement with significant opportunities for personal development.,0,0,0
434,1262,"responsibilities
manipulating and analyzing large, complex data sets representing the behavior of players and turning them into actionable insights to address strategic and operational business questions
provide actionable recommendations and conclusions from game data to shape game features and future product roadmaps
work closely with internal departments to drive insights that will help produce better games and drive towards retention and monetization improvements.",0,2,0
435,2375,"work simultaneously on a number of different projects of varying complexity and length 

what we’re seeking
 
advanced degree in preferably operational research, mathematics, statistics, engineering, physics or equivalent work experience.",0,0,0
436,2299,"you will join the business to drive innovation, develop solutions and architect how data is used internally.",0,1,0
437,1070,"occupational health and lifestyle support, and we’re expanding our health offerings alongside beyond pmi.",0,0,0
438,2815,this is combined with a flat and transparent approach to decision making that creates a shared culture of success.,0,0,0
439,1643,"you'll love this role if
you have a passion for data and are interested in using it to drive business decisions.",0,1,0
440,2973,"we are headquartered in london, uk with locations in manchester, new york, los angeles and australia.",0,0,0
441,898,"our client are a financial institution, with offices in london and croydon.",0,0,0
442,1388,experience of python (e.g.,0,0,0
443,982,"we are looking for a focused and committed individual that enjoys writing optimal and performant sql code, building the ‘best in class’ data products and supporting and engaging with the wider analyst community and stakeholders.",0,0,2
444,2215,the data scientist will work with all bank businesses and functions on generating actionable customer and partner insight.,0,2,0
445,1722,"founded in 2011 this multi-award-winning advertising business is revolutionising the traditional agency model, aiming to deliver first class work for great value and fast.",0,0,0
446,2650,work from home to start with till safe to return to office.,0,0,0
447,2650,work from home to start with till safe to return to office.,0,0,0
448,75,understanding of both classical and deep machine learning approaches.,0,0,0
449,1168,experience using data visualisation tools such as r shiny or tableau.,0,0,0
450,392,at infosys consulting we are taking a very ambitious and determined step into the future by enhancing our abilities increasing our reach.,0,0,0
451,2236,our multi-disciplinary team has made it our mission to harness technical possibilities for solutions to some of the world’s most pressing transport problems.,0,0,0
452,2293,you will join a growing team of 20+ working to build a world-leading ai platform to provide solutions for the world's top pharma organisations.,0,0,0
453,736,contribute to the creation of internal templates for projects - detailing processes and objectives.,0,0,0
454,878,"if you’re looking to start your career in technology or business, we want to hear from you now!",0,0,0
455,2634,"we're not maximising the time consumers spend in a feed, getting fast food delivered, or building an incrementally better bank.",0,0,0
456,2642,research mindset / background would be really useful.,0,0,0
457,2037,"experience with statistical programming languages such as r
experience with version control using git.",0,0,0
458,1191,you will stay up to date with the latest advances in ml and ai.,0,0,0
459,1260,"the ideal candidate will be an instrumental member of our collaborative team, where they’ll take part in planning and measuring company kpi’s while supporting business goals.",0,1,0
460,385,you will be leading the work on re-inventing how the data is currently used and develop data models to support various hypotheses.,0,0,1
461,1850,whatever you do here you will be supporting our work to achieve our vision and ten year strategic plan.,0,0,0
462,43,"we're seriously playful

officially, we are a leading interactive entertainment company for the mobile world.",0,0,0
463,1780,"you will have the skills to extract, merge, cleanse, and manipulate large data sets.",0,0,0
464,2384,an excellent communicator with the ability to explain complex concepts and describe technical material to non-technical users.,0,0,0
465,2104,"our culture and values place great emphasis upon open communication, autonomy and empowerment.",0,0,0
466,2642,research mindset / background would be really useful.,0,0,0
467,1229,"the population health analytics team works at the forefront of the exciting transformation agenda within health and care, delivering population analytics solutions that allow health and care organisations to plan health and care services based on the true needs of their populations.",0,1,0
468,955,what do we value?,0,0,0
469,1263,build automated dashboards and reports to facilitate company-wide awareness and understanding of key business metrics and player’s experience.,0,2,0
470,3032,"we aspire to inclusive working experiences and an environment that reflects the audience we serve, where our people have equal access to career development opportunities, their voices are heard and can contribute to our future.",0,0,0
471,1979,the position holder may also be involved in joint projects with financial crime compliance and with other group risk teams.,1,0,0
472,2274,"researching new products, tools and techniques to assist with advancing our machine learning and data science capability.",0,0,1
473,1876,"newton’s rapidly growing digital practice delivers digital transformation across our largest and most complex programmes, including data science and analytics, systems change, technology and data architecture.",0,0,0
474,400,·educate others on statistical analysis and scientific investigation.,0,0,1
475,803,"proactive, and exemplary attention to detail.",0,0,0
476,1917,ability to communicate effectively and confidently at all levels.,0,0,0
477,1202,"r, python, java, c#, c++)
a familiarity with java (se7+) and a desire to become an expert
an ability and desire to learn new skills quickly
genuine passion for making the impossible possible

preferred skills
strong knowledge or experience in one area of ml and ai.",0,0,0
478,2536,"what you'll be doing:
this role is a central role in the day-to-day work of our specialised audience measurement data science team.",0,0,0
479,1057,"we’re looking for people with data-minds, who relish finding creative solutions to complex problems, people who view things differently and who think unconventionally.",0,0,0
480,852,a humbleness to recognize that sometimes you’ll need to apologize and admit mistakes (we’re all human after all!),0,0,0
481,560,"you will also add value and provide guidance where needed to leverage our corporate investors’ internal assets, such as data and domain knowledge.",0,0,0
482,172,the company is profitable and was founded in 2009 by former lastminute.com staff with a background in the holiday park sector.,0,0,0
483,1511,creativity: the role will involve proactively developing new product ideas and enhancements.,0,0,0
484,2494,"we also offer perks such as regular health and wellbeing activities, discounts on a wide range of company and partner products, free online training courses, complimentary snacks and a wide selection of drinks, social events and much more!",0,0,0
485,2224,"we are an agile team of clinically led data science specialists who use our proprietary clinical ai technology to analyse ethically sourced, clinically curated, anonymised patient data to solve serious unmet medical needs across a wide range of therapeutic areas, enabling a new approach to clinical trial design, drug discovery, development and post-marketing surveillance.",1,1,0
486,2022,"we’ve built an expert cross-disciplinary team of primarily scientists and software engineers, with offices in oxford and cambridge, uk.",0,0,0
487,900,"you will identify high-quality opportunities for data-driven insight, taking the lead in improving the way data is collected, stored and used in the team.",0,1,0
488,313,"data science at ratio

this is a new role, so being a self-motivated, problem solver who can take ownership, learn and use initiative to drive forward the quality and extent of the business' insight is essential.",0,0,0
489,1289,"if you want to join a passionate team and have a growth mindset, get in touch!data science / machine learning analyst
location – herefordshire
salary – dependent on experience

data science / machine learning analyst required for our forward thinking ecommerce client based in herefordshire.",0,0,0
490,2038,experience with constructing and defining workflow using languages like wdl or cwl.,0,0,1
491,2039,experience of working with individual-level genetic datasets.,0,0,0
492,690,"they are looking for a creative and experienced machine learning data scientist with commercial experience of building ml models and implementing them (target language is python, or possibly r, but happy to cross train from java, c++, c# etc) into sophisticated applications.",0,0,2
493,1912,manage the automation of analytical tasks using a relevant coding language (e.g.,0,0,1
494,2061,"from 30 to 3,000 people, we are a leading digital distributor of insurance and household financial services.",0,0,0
495,3022,"combine, wrangle and clean them, conducting deep-dive exploratory analysis where required
 identify the optimal analytical or machine learning technique to answer the question
 spot opportunities to improve processes in different parts of gnm business with data science solutions and have the determination to see through the changes
present the results of analysis in easily digestible formats, using appropriate visualisation, for both technical and non-technical audiences

about you

advanced degree in statistics, math, physics, computer science, or machine-learning related fields
3+ years experience of working in a professional data science position (specific experience within digital media publishing is an advantage)
high proficiency in python and its libraries and database programming languages, in particular sql (experience of working with nlp is a plus)
an excellent command of libraries for data science: numpy, pandas, scikit-learn, keras etc.",0,0,0
496,1342,"the successful candidate should reside or be able to move to edinburgh, scotland

data scientist - genomic selection & simulation 

major tasks 
providing technical contributions in a fast-paced team environment to accelerate our efforts on building an analytics-driven product pipeline
independently perform statistical analysis, computer programming, predictive modelling and experimental design
build cross-functional relationships to collaboratively partner with the business and effectively network within the data science community
using advanced mathematical models, machine learning algorithms, operations research techniques, and strong business acumen to deliver insight, recommendations, and solutions
developing sustainable, consumable, accurate, and impactful reporting on model inputs, model outputs, observed outputs, business impact, and key performance indicators
present compelling, validated stories to all levels of organization, including peers, senior management, and internal customers to drive both strategic and operational changes in business
develops code: 30-35% stats/modeling: 35-50% domain knowledge & consulting industry experts: 20-25% 

skills
bachelors 5 yrs + masters degree with 2+ years experience or phd
educational preparation or applied experience in at least one of the following areas: statistical genetics, statistics, biostatistics, bioinformatics, genomics, computational biology, applied mathematics, computer science or other related quantitative discipline.",0,0,1
